0.125,62.5,57.1,53.9,46.2,26,49.9
0.25,45,38.2,32.4,33.8,31.5,31.3
0.375,50.4,35.9,35.8,34.5,34,36.6
0.5,43.2,35.3,35.4,35.8,35.6,38
0.625,46.7,46.3,45.3,45.3,45.1,46.3
0.75,46.7,45.7,47.4,46.5,46.6,50.5
0.875,42.9,47.8,46.9,45.3,45.7,43.5
1,47.1,47.3,38.5,45.4,46.7,49.9
1.125,70.4,72.5,72.4,69.4,68.5,69.2
1.25,70.2,66.1,68.9,55.6,73.3,61.8
